candidate_id,gender,resume_gender_signal,years_experience,education_level,programming_skill,leadership_score,communication_score,company_tier,project_experience,interview_score,hired
C0103,Male,0.833,6,1,70,43,62,1,1,43,0
C0104,Male,0.587,5,2,59,85,72,2,2,70,1
C0105,Female,0.313,5,2,63,46,56,2,2,65,0
C0106,Male,0.837,4,1,55,63,95,2,1,60,1
C0107,Male,0.71,5,2,37,71,64,2,2,75,1
C0108,Female,0.116,3,1,70,51,58,1,2,82,0
C0109,Male,0.55,0,1,96,72,50,1,5,38,0
C0110,Male,0.949,1,1,65,41,77,1,2,53,0
C0111,Male,0.668,0,0,69,81,74,2,1,76,1
C0112,Male,0.652,6,1,77,60,55,4,0,55,0
C0113,Female,0.305,1,1,42,51,70,1,2,50,0
C0114,Female,0.249,7,1,95,55,40,4,3,79,1
C0115,Male,0.825,1,1,68,72,64,3,1,42,1
C0116,Female,0.09,0,0,94,51,68,2,4,58,0
C0117,Female,0.071,4,1,51,48,85,2,5,68,0
C0118,Male,0.63,1,1,97,56,51,3,1,53,0
C0119,Female,0.151,7,1,78,42,44,1,0,75,1
C0120,Male,0.961,7,2,74,87,49,2,1,53,1
C0121,Female,0.102,7,2,69,51,43,2,4,85,1
C0122,Female,0.086,0,2,60,72,80,2,5,60,0
C0123,Male,1.0,1,2,86,63,83,3,3,73,1
C0124,Male,0.712,2,1,67,45,66,1,4,74,0
C0125,Male,0.772,4,2,29,59,79,2,1,52,1
C0126,Male,1.0,3,1,44,71,63,2,4,30,1
C0127,Female,0.276,1,1,61,57,60,2,1,68,0
C0128,Female,0.0,7,2,70,77,57,2,3,64,1
C0129,Male,0.858,2,1,63,75,57,2,3,71,0
C0130,Male,0.8,3,2,86,73,40,3,0,59,0
C0131,Male,0.924,3,2,29,53,65,2,3,56,1
C0132,Male,0.688,6,2,67,43,61,3,2,95,1
C0133,Male,0.674,1,2,32,50,72,2,4,39,0
C0134,Male,0.699,0,1,78,62,63,1,4,74,0
C0135,Female,0.032,1,1,63,68,59,1,1,53,0
C0136,Male,0.922,2,1,72,27,49,1,3,57,1
C0137,Male,0.623,3,1,49,59,63,2,0,57,0
C0138,Male,0.707,1,1,88,62,72,2,0,50,1
C0139,Male,0.532,0,2,83,55,45,3,0,72,1
C0140,Female,0.187,6,2,75,79,63,3,5,85,0
C0141,Female,0.035,1,1,62,66,65,1,2,70,0
C0142,Male,0.751,4,1,75,79,51,1,3,64,1
C0143,Male,0.755,6,1,52,56,53,1,0,47,1
C0144,Male,0.868,0,1,80,74,65,2,2,71,1
C0145,Male,1.0,2,2,94,84,46,1,4,97,0
C0146,Male,0.861,3,1,84,79,66,1,1,56,1
C0147,Male,0.695,1,1,51,43,49,4,3,56,0
C0148,Male,0.557,0,0,71,56,76,3,3,54,1
C0149,Male,0.633,6,1,41,54,94,1,5,55,1
C0150,Male,0.811,4,1,75,67,49,2,4,19,0
C0151,Female,0.314,0,1,73,70,69,2,3,69,0
C0152,Male,0.829,5,1,31,47,51,3,5,49,1
C0153,Male,0.717,7,1,44,61,76,2,5,37,1
C0154,Male,0.641,4,1,59,29,44,1,5,75,0
C0155,Female,0.013,6,2,59,81,68,3,3,45,1
C0156,Male,1.0,2,1,43,52,49,2,3,57,1
C0157,Male,0.933,3,1,72,60,59,1,3,86,1
C0158,Female,0.141,6,1,69,55,47,2,2,40,0
C0159,Male,0.881,7,3,61,77,73,2,5,38,1
C0160,Female,0.442,2,1,51,17,50,2,2,67,0
C0161,Male,0.999,1,2,83,59,69,1,1,81,1
C0162,Male,0.795,0,1,94,58,57,2,3,37,1
C0163,Male,0.833,5,1,56,53,60,1,4,69,0
C0164,Male,0.794,4,0,53,85,64,3,0,72,1
C0165,Male,0.358,4,1,73,46,51,1,1,30,0
C0166,Female,0.276,0,3,58,71,64,1,0,75,0
C0167,Male,0.874,5,1,62,65,83,2,0,77,1
C0168,Male,0.849,0,0,78,78,51,3,3,58,1
C0169,Male,0.791,1,0,30,49,78,3,4,83,1
C0170,Male,0.825,7,1,88,49,82,2,0,81,0
C0171,Male,0.71,2,1,66,76,50,1,5,64,0
C0172,Male,0.892,6,0,57,66,41,3,0,55,1
C0173,Male,0.604,4,2,63,36,66,2,1,47,1
C0174,Male,0.828,1,1,64,51,54,1,4,62,0
C0175,Male,0.884,2,1,33,65,88,4,4,72,1
C0176,Male,0.77,1,2,91,72,62,1,0,57,1
C0177,Male,0.856,5,1,65,49,50,4,4,27,1
C0178,Male,0.651,4,3,72,16,45,3,1,83,1
C0179,Female,0.145,6,1,82,67,77,2,1,66,0
C0180,Male,0.836,0,2,46,41,54,4,1,56,0
C0181,Male,0.902,0,1,73,29,62,3,5,76,0
C0182,Male,0.519,2,2,60,17,75,1,3,87,0
C0183,Female,0.244,6,3,80,72,55,2,0,18,0
C0184,Female,0.319,7,1,26,61,61,1,4,69,0
C0185,Male,0.771,3,3,63,56,61,2,1,40,1
C0186,Male,0.599,5,1,54,80,71,3,0,70,0
C0187,Female,0.233,2,1,72,69,70,2,0,65,1
C0188,Male,0.945,3,1,73,84,58,2,3,73,1
C0189,Male,0.805,1,1,52,39,62,2,5,55,1
C0190,Male,0.743,5,1,52,59,56,3,4,33,1
C0191,Male,0.783,1,1,63,35,41,1,5,55,1
C0192,Female,0.273,7,1,48,56,65,2,4,69,1
C0193,Female,0.451,6,2,80,56,88,1,1,79,1
C0194,Male,0.789,4,2,58,69,49,2,1,44,0
C0195,Male,0.964,5,1,12,60,51,1,0,79,0
C0196,Male,0.946,3,1,58,69,49,2,4,52,1
C0197,Female,0.127,7,1,46,70,72,1,4,68,0
C0198,Female,0.196,4,1,35,92,68,1,5,54,1
C0199,Female,0.093,0,1,42,55,59,4,1,65,0
C0200,Female,0.193,3,1,66,45,49,1,2,77,0
C0201,Male,0.959,2,1,88,63,63,2,0,43,0
C0202,Male,0.935,0,3,70,47,40,1,4,52,0
C0203,Male,0.647,7,1,54,82,64,2,3,65,1
C0204,Female,0.15,0,1,73,55,74,2,3,100,0
C0205,Male,0.695,2,1,56,51,44,2,2,49,0
C0206,Male,0.946,5,1,52,52,40,1,1,95,1
C0207,Male,0.564,0,1,44,70,84,2,1,95,1
C0208,Male,0.859,6,1,33,57,53,2,1,61,0
C0209,Male,0.854,3,1,57,50,77,3,5,58,0
C0210,Male,0.974,4,1,67,84,59,2,3,51,1
C0211,Male,0.827,0,3,63,47,59,2,1,61,1
C0212,Male,0.599,3,2,57,60,68,1,3,40,0
C0213,Male,0.656,1,1,47,69,49,1,2,61,1
C0214,Male,0.623,3,1,75,35,63,1,0,86,0
C0215,Male,0.719,4,1,41,67,56,1,5,53,0
C0216,Male,0.773,3,1,78,44,43,1,4,59,0
C0217,Male,0.625,2,1,46,72,66,2,2,35,0
C0218,Female,0.17,7,0,51,45,58,2,3,68,1
C0219,Male,0.601,4,1,38,70,59,4,2,67,0
C0220,Female,0.357,7,1,55,76,45,1,4,64,0
C0221,Male,0.978,5,1,82,72,84,2,5,59,1
C0222,Male,0.935,7,3,74,63,74,3,0,58,1
C0223,Male,0.696,1,2,82,56,75,2,4,71,1
C0224,Male,0.851,2,2,74,51,57,1,5,62,0
C0225,Male,0.608,5,1,45,82,37,1,3,68,0
C0226,Male,0.937,3,2,59,49,89,1,4,66,0
C0227,Female,0.404,4,1,50,44,61,2,2,80,0
C0228,Male,0.739,1,2,88,69,51,3,1,73,1
C0229,Female,0.426,2,1,43,48,67,1,2,66,1
C0230,Male,0.428,5,2,81,45,78,1,3,87,1
C0231,Female,0.224,5,1,81,38,61,3,0,69,0
C0232,Male,0.967,1,2,97,52,79,3,4,83,1
C0233,Male,0.74,6,2,57,58,77,2,0,72,0
C0234,Male,0.775,3,1,77,63,46,2,3,33,0
C0235,Male,0.898,1,1,100,74,52,2,4,83,1
C0236,Female,0.292,5,3,53,67,75,1,5,65,1
C0237,Male,0.999,0,1,37,57,24,2,5,62,0
C0238,Male,0.654,2,2,31,57,59,2,2,67,0
C0239,Male,0.509,1,1,77,67,41,4,2,57,0
C0240,Male,1.0,6,1,31,79,55,1,3,66,0
C0241,Female,0.145,5,1,58,61,57,2,5,53,1
C0242,Female,0.105,3,1,72,52,56,2,4,83,0
C0243,Female,0.221,7,2,68,45,54,2,5,61,0
C0244,Male,0.944,5,1,72,38,46,1,2,56,0
C0245,Male,0.784,3,1,69,69,94,2,3,48,1
C0246,Female,0.0,1,1,88,68,88,3,5,67,0
C0247,Male,0.934,3,1,47,68,45,2,3,65,1
C0248,Female,0.22,4,2,52,58,84,2,5,69,1
C0249,Female,0.153,4,3,51,81,56,1,0,46,0
C0250,Female,0.174,4,1,79,52,63,1,5,37,1
C0251,Male,0.899,6,2,81,74,61,2,2,73,1
C0252,Male,0.877,6,2,73,59,52,3,4,86,1
C0253,Female,0.297,0,1,86,50,75,4,2,46,0
C0254,Male,0.94,6,3,43,68,63,2,2,88,1
C0255,Male,0.746,7,1,95,66,55,2,2,67,1
C0256,Male,0.827,1,1,92,65,43,3,3,62,1
C0257,Female,0.272,5,2,78,61,49,2,1,56,0
C0258,Male,0.733,5,1,97,59,39,2,1,40,0
C0259,Male,0.915,0,2,35,95,62,1,0,78,0
C0260,Male,0.741,6,2,55,77,45,3,2,50,1
C0261,Male,0.73,7,1,51,70,58,2,1,50,0
C0262,Female,0.438,3,2,77,61,81,3,0,78,0
C0263,Male,0.951,0,1,46,75,78,3,3,32,0
C0264,Male,0.882,7,1,78,67,61,1,2,38,0
C0265,Female,0.376,3,1,89,60,60,3,4,62,1
C0266,Female,0.186,7,2,77,55,88,3,3,67,0
C0267,Male,0.776,3,0,70,58,69,2,0,70,0
C0268,Male,0.758,2,1,47,12,57,1,3,58,0
C0269,Male,0.758,7,2,49,63,42,1,4,100,1
C0270,Male,0.708,5,2,87,52,67,2,3,59,1
C0271,Female,0.097,4,2,79,83,73,2,0,59,1
C0272,Female,0.366,6,1,64,60,53,2,4,50,1
C0273,Female,0.413,3,1,57,42,66,1,4,64,0
C0274,Female,0.18,2,1,28,59,56,3,3,72,1
C0275,Male,0.873,7,2,45,44,59,1,4,82,1
C0276,Male,0.794,5,1,99,67,27,1,3,39,1
C0277,Female,0.172,4,1,41,64,58,2,2,59,0
C0278,Male,0.582,3,3,68,74,75,2,4,70,1
C0279,Male,0.7,7,0,83,48,53,1,3,72,1
C0280,Female,0.085,7,3,42,60,62,1,2,63,1
C0281,Female,0.277,3,2,68,39,51,1,4,71,1
C0282,Male,0.793,0,2,81,70,67,3,2,50,0
C0283,Male,0.868,0,1,65,67,58,3,5,87,1
C0284,Male,0.712,5,0,100,67,48,2,4,78,1
C0285,Male,0.873,4,2,34,60,80,3,5,41,1
C0286,Male,1.0,3,2,84,66,75,3,0,45,0
C0287,Male,0.949,5,2,61,84,53,1,0,46,1
C0288,Male,0.788,5,1,78,55,68,4,3,73,0
C0289,Male,0.901,1,2,72,62,69,3,1,42,1
C0290,Male,0.887,7,2,51,43,70,1,5,57,0
C0291,Male,0.876,6,2,69,46,38,1,5,70,1
C0292,Male,0.967,7,2,31,61,76,1,0,61,1
C0293,Female,0.183,0,2,75,76,54,1,5,67,0
C0294,Male,0.781,4,1,70,56,56,3,1,45,0
C0295,Male,0.896,7,1,76,56,98,2,2,72,1
C0296,Male,0.743,3,1,84,53,66,3,2,53,1
C0297,Female,0.0,5,1,71,51,56,3,1,57,0
C0298,Male,0.76,3,1,67,64,31,2,5,66,0
C0299,Male,0.789,1,1,49,37,81,2,5,64,1
C0300,Male,0.551,4,1,52,79,43,1,5,63,1
C0301,Male,0.929,5,1,86,50,47,2,3,50,1
C0302,Male,0.385,3,1,90,70,57,2,4,58,1
C0303,Male,1.0,0,2,60,40,81,1,1,63,1
C0304,Male,1.0,6,2,65,70,72,1,1,40,0
C0305,Female,0.207,1,1,48,70,59,3,1,55,0
C0306,Female,0.261,4,3,86,65,66,2,1,69,1
C0307,Male,0.845,1,1,76,45,53,1,1,42,1
C0308,Male,0.712,0,1,99,63,63,2,5,81,0
C0309,Female,0.0,4,1,49,42,63,3,3,83,1
C0310,Male,0.778,1,1,58,56,75,2,0,43,0
C0311,Male,0.786,2,2,69,75,75,1,5,84,1
C0312,Male,0.827,0,2,76,71,68,4,5,60,1
C0313,Male,0.603,0,1,61,60,56,2,4,69,0
C0314,Female,0.106,0,1,49,45,72,1,0,55,0
C0315,Female,0.541,2,1,80,69,60,2,1,77,0
C0316,Male,0.819,2,1,77,60,46,3,0,69,0
C0317,Male,0.768,3,1,48,25,56,1,3,49,0
C0318,Male,0.971,5,1,89,71,63,1,2,44,1
C0319,Male,0.747,6,2,86,59,74,1,5,39,0
C0320,Male,0.834,1,2,67,78,59,4,0,66,1
C0321,Male,0.995,3,1,66,43,45,1,4,72,1
C0322,Male,0.788,1,2,74,12,62,2,3,73,0
C0323,Male,0.832,6,1,49,64,63,4,2,61,0
C0324,Male,0.786,5,1,65,64,64,1,3,44,0
C0325,Female,0.222,2,1,26,34,74,4,1,52,0
C0326,Female,0.136,5,1,80,45,76,4,2,81,0
C0327,Male,0.993,2,3,36,100,53,3,4,55,1
C0328,Male,0.784,6,1,92,55,53,1,2,65,0
C0329,Male,0.671,5,1,59,70,47,2,4,45,1
C0330,Male,0.902,3,1,61,50,71,3,1,68,1
C0331,Male,0.754,4,1,53,28,82,4,4,55,1
C0332,Female,0.14,3,2,59,57,57,1,3,79,0
C0333,Male,0.391,1,1,90,56,58,3,0,75,0
C0334,Male,0.801,3,1,20,54,82,2,3,55,1
C0335,Male,0.731,6,1,87,58,69,1,5,60,0
C0336,Male,0.641,0,1,71,63,68,2,3,54,0
C0337,Female,0.374,1,1,43,57,45,3,2,40,0
C0338,Male,0.714,5,2,45,41,71,2,1,49,1
C0339,Male,0.793,1,1,95,67,48,2,5,66,1
C0340,Male,0.595,4,2,47,30,46,4,5,68,0
C0341,Male,0.847,2,2,44,29,57,2,5,65,0
C0342,Male,1.0,5,2,85,71,53,2,0,58,1
C0343,Male,0.842,7,1,71,67,58,2,4,77,1
C0344,Male,0.921,1,1,48,59,41,2,2,64,0
C0345,Male,0.964,5,1,68,39,75,2,1,74,1
C0346,Male,0.985,5,2,46,49,77,4,0,34,1
C0347,Male,1.0,5,1,84,56,34,2,3,0,1
C0348,Male,0.725,2,1,84,36,75,3,1,67,1
C0349,Male,0.692,7,1,74,48,50,1,5,40,1
C0350,Male,0.918,6,1,71,69,73,1,1,59,1
C0351,Male,0.906,3,1,96,81,61,2,1,58,0
C0352,Female,0.248,5,1,64,53,62,1,3,88,0
C0353,Male,1.0,0,2,43,71,59,1,4,69,1
C0354,Male,0.802,6,1,73,31,78,2,2,65,1
C0355,Male,0.864,4,0,100,69,44,1,5,76,1
C0356,Male,0.653,2,1,46,47,70,1,4,68,1
C0357,Male,1.0,1,0,58,64,77,2,0,55,1
C0358,Male,0.75,2,1,72,56,72,2,5,80,1
C0359,Female,0.26,1,2,64,79,94,4,2,45,0
C0360,Male,0.748,2,1,47,46,54,2,0,68,1
C0361,Male,0.703,1,2,85,69,75,2,3,38,0
C0362,Male,0.691,5,0,100,55,60,4,4,66,1
C0363,Male,0.721,3,1,68,57,79,3,5,66,0
C0364,Male,0.595,1,2,48,57,61,1,1,89,1
C0365,Female,0.054,7,1,37,47,56,1,2,37,1
C0366,Male,1.0,1,1,69,59,80,2,5,53,0
C0367,Female,0.267,0,1,84,59,55,2,1,76,0
C0368,Female,0.462,1,1,73,63,42,3,5,68,1
C0369,Male,0.977,0,2,64,61,54,3,0,65,1
C0370,Male,1.0,4,1,54,71,70,2,1,47,1
C0371,Male,0.534,5,2,45,73,81,4,1,53,1
C0372,Male,0.616,0,2,80,44,63,2,5,82,0
C0373,Male,0.679,3,1,81,73,80,1,3,62,0
C0374,Male,0.73,6,2,37,42,42,3,3,69,1
C0375,Male,0.755,5,1,93,68,55,1,4,61,1
C0376,Male,0.733,0,3,75,69,57,3,0,44,1
C0377,Female,0.439,5,1,90,31,60,4,3,77,1
C0378,Male,0.805,7,2,40,61,63,2,5,71,1
C0379,Female,0.166,5,1,40,52,71,2,3,99,1
C0380,Male,0.474,5,1,62,48,55,2,4,46,1
C0381,Male,0.651,4,1,74,80,63,2,2,76,0
C0382,Male,0.718,3,2,97,50,61,2,4,42,0
C0383,Male,0.763,2,0,77,47,49,2,1,65,0
C0384,Female,0.152,2,1,60,61,60,3,1,78,1
C0385,Female,0.142,0,2,46,70,59,2,3,29,0
C0386,Female,0.233,5,2,87,57,59,1,3,59,0
C0387,Male,0.781,0,3,47,77,62,2,4,53,1
C0388,Male,0.639,4,2,94,67,63,3,4,51,1
C0389,Female,0.226,4,3,59,27,55,2,5,69,1
C0390,Female,0.309,1,2,93,52,79,2,0,80,0
C0391,Female,0.283,7,1,77,51,45,3,5,60,0
C0392,Male,0.67,4,1,62,67,51,2,1,66,0
C0393,Male,0.936,1,2,55,20,100,2,5,64,0
C0394,Female,0.282,3,1,58,98,47,3,4,63,1
C0395,Male,0.79,0,0,72,67,43,1,5,45,0
C0396,Female,0.39,6,1,66,62,72,4,2,80,0
C0397,Female,0.415,3,3,54,77,32,1,0,67,1
C0398,Male,0.904,4,1,62,95,58,1,4,69,0
C0399,Female,0.229,3,1,66,73,92,3,3,50,0
C0400,Female,0.296,3,1,26,74,40,1,5,55,0
C0401,Male,0.869,7,1,73,61,34,3,4,60,1
C0402,Female,0.272,7,1,47,57,41,3,3,38,0
C0403,Male,0.82,7,1,44,52,74,3,3,35,0
C0404,Female,0.0,3,1,34,47,77,4,1,53,1
C0405,Male,0.68,4,2,32,49,54,1,1,71,0
C0406,Female,0.035,6,1,40,39,71,3,4,52,1
C0407,Male,0.852,5,2,52,58,81,1,4,46,0
C0408,Male,0.851,3,2,100,34,87,2,2,49,0
C0409,Female,0.176,1,1,55,62,58,3,0,55,0
C0410,Male,0.965,4,2,68,59,29,2,0,57,0
C0411,Male,0.586,3,1,72,62,50,2,4,97,1
C0412,Female,0.038,6,2,67,52,56,2,1,79,1
C0413,Female,0.048,5,1,63,100,58,2,5,79,0
C0414,Male,0.691,7,2,43,80,59,4,2,81,1
C0415,Male,1.0,4,1,91,41,77,1,0,47,0
C0416,Male,0.877,2,1,97,63,79,2,4,43,1
C0417,Male,0.788,5,1,34,50,59,3,1,45,0
C0418,Male,0.723,1,2,46,44,77,2,1,84,1
C0419,Male,0.728,3,2,59,39,67,1,1,54,0
C0420,Female,0.173,6,1,47,66,62,2,5,42,1
C0421,Female,0.524,2,1,74,49,74,2,3,56,1
C0422,Female,0.205,6,1,51,74,63,1,5,59,1
C0423,Male,0.759,2,2,100,74,90,3,1,67,1
C0424,Male,1.0,4,1,86,80,41,2,4,67,1
C0425,Male,1.0,2,2,68,47,54,4,2,49,0
C0426,Male,0.838,1,1,83,67,60,3,5,73,1
C0427,Male,0.599,1,1,84,69,68,2,4,52,0
C0428,Female,0.463,0,1,54,52,79,1,1,60,0
C0429,Male,1.0,1,1,50,48,61,2,2,73,0
C0430,Male,1.0,5,1,66,84,42,1,0,52,0
C0431,Male,0.91,2,1,80,63,73,4,0,53,0
C0432,Female,0.0,1,2,67,69,72,1,4,72,1
C0433,Male,0.808,4,0,36,47,34,1,2,49,0
C0434,Male,0.894,6,1,50,41,61,2,4,56,0
C0435,Male,0.698,7,1,63,51,39,1,2,71,1
C0436,Male,0.844,6,0,63,58,52,1,2,95,0
C0437,Male,0.999,0,1,100,44,49,2,4,72,0
C0438,Female,0.124,6,1,40,59,73,1,2,70,1
C0439,Male,0.671,2,1,74,34,63,1,5,71,1
C0440,Male,0.815,0,1,91,43,44,2,1,45,1
C0441,Male,0.766,2,1,100,70,74,3,2,64,0
C0442,Female,0.244,4,1,57,69,41,2,5,62,1
C0443,Male,0.732,0,0,73,54,66,2,2,68,0
C0444,Male,1.0,3,1,75,44,50,2,5,64,0
C0445,Female,0.274,5,3,68,44,56,2,4,69,1
C0446,Female,0.03,5,1,63,54,69,4,0,58,0
C0447,Female,0.23,2,2,72,69,69,1,3,63,0
C0448,Female,0.217,6,1,19,73,80,2,2,43,1
C0449,Male,0.836,7,2,77,52,60,3,3,57,1
C0450,Male,0.762,7,2,67,42,66,3,2,85,1
C0451,Female,0.009,3,1,60,64,55,1,4,68,0
C0452,Male,0.548,0,3,100,47,64,1,4,62,0
C0453,Male,0.799,3,1,52,52,68,3,5,93,0
C0454,Female,0.323,3,0,57,79,60,1,2,41,0
C0455,Male,0.888,6,2,100,72,36,3,4,45,1
C0456,Male,0.809,7,2,50,62,66,3,4,90,1
C0457,Male,0.872,0,1,55,40,67,3,2,63,0
C0458,Male,0.796,4,1,62,63,52,1,5,59,1
C0459,Male,0.586,6,0,80,75,44,3,5,43,0
C0460,Male,0.587,3,1,68,54,82,2,5,70,0
C0461,Male,0.77,3,2,41,80,68,3,5,71,1
C0462,Male,0.776,4,1,55,79,58,1,0,45,0
C0463,Female,0.255,3,1,54,84,46,1,2,60,0
C0464,Male,0.914,3,1,63,64,50,2,0,57,1
C0465,Female,0.218,3,0,72,68,80,1,4,67,0
C0466,Male,0.758,5,1,72,81,63,2,0,45,0
C0467,Male,0.593,6,1,33,66,54,4,5,83,1
C0468,Female,0.135,1,3,84,52,69,2,4,77,1
C0469,Male,0.879,6,2,69,53,50,3,0,57,1
C0470,Female,0.084,4,0,89,63,83,1,0,59,0
C0471,Male,0.675,3,2,72,40,80,1,2,60,1
C0472,Female,0.349,6,2,84,57,55,1,0,50,1
C0473,Male,0.818,5,2,73,76,53,2,4,55,1
C0474,Female,0.172,7,1,89,27,25,4,5,58,0
C0475,Male,0.794,4,1,74,83,41,1,2,88,1
C0476,Female,0.318,2,1,63,76,43,2,0,78,0
C0477,Male,0.776,6,1,100,53,63,2,2,77,1
C0478,Male,0.693,2,1,81,68,57,4,3,68,1
